,changepoint_prior_scale,holidays_prior_scale,seasonality_prior_scale,fourier_order,prior_scale,rmse,mae
0,0.001,5,0.01,3,0.1,500192.29929838073,394258.97159636463
1,0.001,5,0.01,3,1.0,567241.5905648824,354667.4629447538
2,0.001,5,0.01,3,5.0,578973.8914639715,360686.97796484706
3,0.001,5,0.01,5,0.1,500300.0618055182,392829.8937319584
4,0.001,5,0.01,5,1.0,566062.5933840637,354808.8593702948
5,0.001,5,0.01,5,5.0,584492.7808694391,368301.6420940356
6,0.001,5,0.01,7,0.1,503147.95688330237,393369.7028917501
7,0.001,5,0.01,7,1.0,574616.3498222546,358421.981982756
8,0.001,5,0.01,7,5.0,587941.3407399834,370197.7563504742
9,0.001,5,0.1,3,0.1,267222.341017208,164853.83757307992
10,0.001,5,0.1,3,1.0,299104.04054091603,199335.9246773924
11,0.001,5,0.1,3,5.0,299997.2843220601,203471.8696987902
12,0.001,5,0.1,5,0.1,283934.09657850163,178899.16053809645
13,0.001,5,0.1,5,1.0,330475.44395980285,223949.60193265745
14,0.001,5,0.1,5,5.0,327240.8286642912,228274.99772736686
15,0.001,5,0.1,7,0.1,292507.63471966714,181450.03975819855
16,0.001,5,0.1,7,1.0,348512.68446360616,238533.54194858306
17,0.001,5,0.1,7,5.0,337007.942231343,227335.10468653814
18,0.001,5,1.0,3,0.1,378934.1107840932,234628.2384025547
19,0.001,5,1.0,3,1.0,387290.586152322,249705.17183286385
20,0.001,5,1.0,3,5.0,415740.37308441545,284330.7557131907
21,0.001,5,1.0,5,0.1,443941.9721516592,265517.2578395568
22,0.001,5,1.0,5,1.0,443773.6020334783,282242.33447618276
23,0.001,5,1.0,5,5.0,447422.70108325843,292555.31440382695
24,0.001,5,1.0,7,0.1,429976.87050815095,272275.42595100973
25,0.001,5,1.0,7,1.0,423800.5190490755,276477.79725071107
26,0.001,5,1.0,7,5.0,410977.86556032824,272659.8709237501
27,0.001,5,10.0,3,0.1,500734.71477632015,295244.8833780558
28,0.001,5,10.0,3,1.0,486014.2009628194,311410.8692177771
29,0.001,5,10.0,3,5.0,499758.08183775615,329348.31127017026
30,0.001,5,10.0,5,0.1,579732.0924923797,348280.0210828787
31,0.001,5,10.0,5,1.0,452226.1338043461,281514.1811029772
32,0.001,5,10.0,5,5.0,452621.31353736366,290214.7977131341
33,0.001,5,10.0,7,0.1,1019501.1304204209,557088.1390112728
34,0.001,5,10.0,7,1.0,513619.97974760126,322349.67854717403
35,0.001,5,10.0,7,5.0,434421.1285400958,285114.30773796653
36,0.001,10,0.01,3,0.1,500192.29929838073,394258.97159636463
37,0.001,10,0.01,3,1.0,567241.5905648824,354667.4629447538
38,0.001,10,0.01,3,5.0,578973.8914639715,360686.97796484706
39,0.001,10,0.01,5,0.1,500300.0618055182,392829.8937319584
40,0.001,10,0.01,5,1.0,566062.5933840637,354808.8593702948
41,0.001,10,0.01,5,5.0,584492.7808694391,368301.6420940356
42,0.001,10,0.01,7,0.1,503147.95688330237,393369.7028917501
43,0.001,10,0.01,7,1.0,574616.3498222546,358421.981982756
44,0.001,10,0.01,7,5.0,587941.3407399834,370197.7563504742
45,0.001,10,0.1,3,0.1,267222.341017208,164853.83757307992
46,0.001,10,0.1,3,1.0,299104.04054091603,199335.9246773924
47,0.001,10,0.1,3,5.0,299997.2843220601,203471.8696987902
48,0.001,10,0.1,5,0.1,283934.09657850163,178899.16053809645
49,0.001,10,0.1,5,1.0,330475.44395980285,223949.60193265745
50,0.001,10,0.1,5,5.0,327240.8286642912,228274.99772736686
51,0.001,10,0.1,7,0.1,292507.63471966714,181450.03975819855
52,0.001,10,0.1,7,1.0,348512.68446360616,238533.54194858306
53,0.001,10,0.1,7,5.0,337007.942231343,227335.10468653814
54,0.001,10,1.0,3,0.1,378934.1107840932,234628.2384025547
55,0.001,10,1.0,3,1.0,387290.586152322,249705.17183286385
56,0.001,10,1.0,3,5.0,415740.37308441545,284330.7557131907
57,0.001,10,1.0,5,0.1,443941.9721516592,265517.2578395568
58,0.001,10,1.0,5,1.0,443773.6020334783,282242.33447618276
59,0.001,10,1.0,5,5.0,447422.70108325843,292555.31440382695
60,0.001,10,1.0,7,0.1,429976.87050815095,272275.42595100973
61,0.001,10,1.0,7,1.0,423800.5190490755,276477.79725071107
62,0.001,10,1.0,7,5.0,410977.86556032824,272659.8709237501
63,0.001,10,10.0,3,0.1,500734.71477632015,295244.8833780558
64,0.001,10,10.0,3,1.0,486014.2009628194,311410.8692177771
65,0.001,10,10.0,3,5.0,499758.08183775615,329348.31127017026
66,0.001,10,10.0,5,0.1,579732.0924923797,348280.0210828787
67,0.001,10,10.0,5,1.0,452226.1338043461,281514.1811029772
68,0.001,10,10.0,5,5.0,452621.31353736366,290214.7977131341
69,0.001,10,10.0,7,0.1,1019501.1304204209,557088.1390112728
70,0.001,10,10.0,7,1.0,513619.97974760126,322349.67854717403
71,0.001,10,10.0,7,5.0,434421.1285400958,285114.30773796653
72,0.001,20,0.01,3,0.1,500192.29929838073,394258.97159636463
73,0.001,20,0.01,3,1.0,567241.5905648824,354667.4629447538
74,0.001,20,0.01,3,5.0,578973.8914639715,360686.97796484706
75,0.001,20,0.01,5,0.1,500300.0618055182,392829.8937319584
76,0.001,20,0.01,5,1.0,566062.5933840637,354808.8593702948
77,0.001,20,0.01,5,5.0,584492.7808694391,368301.6420940356
78,0.001,20,0.01,7,0.1,503147.95688330237,393369.7028917501
79,0.001,20,0.01,7,1.0,574616.3498222546,358421.981982756
80,0.001,20,0.01,7,5.0,587941.3407399834,370197.7563504742
81,0.001,20,0.1,3,0.1,267222.341017208,164853.83757307992
82,0.001,20,0.1,3,1.0,299104.04054091603,199335.9246773924
83,0.001,20,0.1,3,5.0,299997.2843220601,203471.8696987902
84,0.001,20,0.1,5,0.1,283934.09657850163,178899.16053809645
85,0.001,20,0.1,5,1.0,330475.44395980285,223949.60193265745
86,0.001,20,0.1,5,5.0,327240.8286642912,228274.99772736686
87,0.001,20,0.1,7,0.1,292507.63471966714,181450.03975819855
88,0.001,20,0.1,7,1.0,348512.68446360616,238533.54194858306
89,0.001,20,0.1,7,5.0,337007.942231343,227335.10468653814
90,0.001,20,1.0,3,0.1,378934.1107840932,234628.2384025547
91,0.001,20,1.0,3,1.0,387290.586152322,249705.17183286385
92,0.001,20,1.0,3,5.0,415740.37308441545,284330.7557131907
93,0.001,20,1.0,5,0.1,443941.9721516592,265517.2578395568
94,0.001,20,1.0,5,1.0,443773.6020334783,282242.33447618276
95,0.001,20,1.0,5,5.0,447422.70108325843,292555.31440382695
96,0.001,20,1.0,7,0.1,429976.87050815095,272275.42595100973
97,0.001,20,1.0,7,1.0,423800.5190490755,276477.79725071107
98,0.001,20,1.0,7,5.0,410977.86556032824,272659.8709237501
99,0.001,20,10.0,3,0.1,500734.71477632015,295244.8833780558
100,0.001,20,10.0,3,1.0,486014.2009628194,311410.8692177771
101,0.001,20,10.0,3,5.0,499758.08183775615,329348.31127017026
102,0.001,20,10.0,5,0.1,579732.0924923797,348280.0210828787
103,0.001,20,10.0,5,1.0,452226.1338043461,281514.1811029772
104,0.001,20,10.0,5,5.0,452621.31353736366,290214.7977131341
105,0.001,20,10.0,7,0.1,1019501.1304204209,557088.1390112728
106,0.001,20,10.0,7,1.0,513619.97974760126,322349.67854717403
107,0.001,20,10.0,7,5.0,434421.1285400958,285114.30773796653
108,0.01,5,0.01,3,0.1,497217.7728974828,391536.1746251834
109,0.01,5,0.01,3,1.0,562764.4955677263,353860.8115204287
110,0.01,5,0.01,3,5.0,564988.3019644395,352683.785426786
111,0.01,5,0.01,5,0.1,497237.4404372098,390159.01232487994
112,0.01,5,0.01,5,1.0,561045.0677020568,352724.61777284654
113,0.01,5,0.01,5,5.0,562162.6031936776,352931.353690221
114,0.01,5,0.01,7,0.1,500023.0735371844,390910.72622813476
115,0.01,5,0.01,7,1.0,562813.1766558501,354155.31344712165
116,0.01,5,0.01,7,5.0,564078.9566059557,354098.6773064589
117,0.01,5,0.1,3,0.1,267641.61672354105,164502.3056835055
118,0.01,5,0.1,3,1.0,304089.4015236147,200362.16927618362
119,0.01,5,0.1,3,5.0,306932.14042336325,208903.7961810215
120,0.01,5,0.1,5,0.1,284169.7624167932,179740.112790975
121,0.01,5,0.1,5,1.0,331247.6305286511,223787.5733478072
122,0.01,5,0.1,5,5.0,331126.4434545369,226426.71265640677
